"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
7258,"0KS8","small_airport","Pearce Field",37.38249969482422,-95.37470245361328,950,"NA","US","US-KS","Parsons","no","0KS8",,"0KS8",,,
7259,"0KS9","small_airport","Lmn 120 Airport",37.515899658203125,-96.9197998046875,1330,"NA","US","US-KS","Douglas","no","0KS9",,"0KS9",,,
7260,"0KY0","small_airport","Owen Air Park",38.622798919677734,-84.77890014648438,890,"NA","US","US-KY","Owenton","no","0KY0",,"0KY0",,,
7261,"0KY1","small_airport","Arnemann Farms Airport",36.76559829711914,-86.61830139160156,504,"NA","US","US-KY","Franklin","no","0KY1",,"0KY1",,,
7262,"0KY2","closed","MGT Station 2105 Heliport",37.5056,-86.837502,540,"NA","US","US-KY","Hartford","no",,,,,,"0KY2"
7263,"0KY3","closed","Tennessee Gas Heliport",38.561404,-83.952795,604,"NA","US","US-KY","Load","no",,,,,,"0KY3"
7264,"0KY4","small_airport","Cambron Field",37.56439971923828,-87.08190155029297,427,"NA","US","US-KY","Owensboro","no","0KY4",,"0KY4",,,
7265,"0KY5","small_airport","Boyce Wafer Farm Airport",36.812346,-86.377427,600,"NA","US","US-KY","Alvaton","no",,,"0KY5",,,"Falin Landing Strip"
7266,"0KY6","closed","Tennessee Gas Heliport",38.268299,-82.577499,560,"NA","US","US-KY","Burnaugh","no",,,,,,"0KY6"
7267,"0KY7","small_airport","Clinton-Hickman County Airport",36.63610076904297,-88.99859619140625,360,"NA","US","US-KY","Clinton","no","0KY7",,"0KY7",,,
7268,"0KY8","closed","Sky Airport",37.117199,-83.736099,850,"NA","US","US-KY","Manchester","no",,,,,,"0KY8"
7269,"0KY9","closed","Pine Mountain Aero Heliport",37.113602,-82.803596,1300,"NA","US","US-KY","Whitesburg","no",,,,,,"0KY9"
7270,"0L4","small_airport","Lida Junction Airport",37.485801696777344,-117.19100189208984,4684,"NA","US","US-NV","Goldfield","no","0L4",,"0L4",,"https://en.wikipedia.org/wiki/Lida_Junction_Airport",
7271,"0L5","small_airport","Goldfield Airport",37.722114,-117.236363,5680,"NA","US","US-NV","Goldfield","no","1A8",,"1A8",,"https://en.wikipedia.org/wiki/Goldfield_Airport","0L5, NV50"
7272,"0L6","heliport","Winn Parish Medical Center Heliport",31.923824,-92.646091,140,"NA","US","US-LA","Winnfield","no","K0L6",,"0L6",,,
7273,"0LA0","heliport","West Hackberry Heliport",30.003515,-93.401005,10,"NA","US","US-LA","Hackberry","no","0LA0",,"0LA0",,,
7274,"0LA1","small_airport","Double H Ranch Airport",30.229400634765625,-90.97339630126953,15,"NA","US","US-LA","Gonzales","no","0LA1",,"0LA1",,,
7275,"0LA2","closed","Don Babin-Private Airport",30.278,-90.963203,17,"NA","US","US-LA","Gonzales","no",,,,,,"0LA2"
7276,"0LA3","small_airport","Belcher Airpatch Airport",32.749298095703125,-93.87349700927734,280,"NA","US","US-LA","Belcher","no","0LA3",,"0LA3",,,
7277,"0LA4","heliport","North Caddo Medical Center Heliport",32.86410140991211,-93.98899841308594,200,"NA","US","US-LA","Vivian","no","0LA4",,"0LA4",,,
7278,"0LA5","heliport","Conoco Inc Heliport",29.258868,-89.964541,3,"NA","US","US-LA","Grand Isle","no","0LA5",,"0LA5",,,
7279,"0LA6","closed","Freeport Sulphur Heliport",29.2586,-89.959198,3,"NA","US","US-LA","Grand Isle","no",,,,,,"0LA6"
7280,"0LA7","heliport","Exxon Heliport",29.254738,-89.96732,6,"NA","US","US-LA","Grand Isle","no","0LA7",,"0LA7",,,
7281,"0LA8","heliport","Jackson Parish Hospital Heliport",32.252942,-92.718795,183,"NA","US","US-LA","Jonesboro","no","0LA8",,"0LA8",,,
7282,"0LA9","small_airport","Rebel Field",30.586299896240234,-90.86150360107422,74,"NA","US","US-LA","Watson","no","0LA9",,"0LA9",,,
7283,"0LL0","small_airport","Kaufield Airport",42.265259,-88.727754,783,"NA","US","US-IL","Belvidere","no","0LL0",,"0LL0",,,
7284,"0LL1","small_airport","Jerseyville Aviation Inc Airport",39.094200134277344,-90.31340026855469,604,"NA","US","US-IL","Jerseyville","no","0LL1",,"0LL1",,,
7285,"0LL2","small_airport","Murk's Strip",40.738899231,-90.38069915770001,700,"NA","US","US-IL","St. Augustine","no","0LL2",,"0LL2",,,
7286,"0LL3","small_airport","Koenig Airport",39.05500030517578,-90.34210205078125,614,"NA","US","US-IL","Jerseyville","no","0LL3",,"0LL3",,,
7287,"0LL4","small_airport","Flaherty Field",41.419592,-89.121394,664,"NA","US","US-IL","La Salle","no","0LL4",,"0LL4",,,"Tri-City"
7288,"0LL5","small_airport","Busboom RLA Restricted Landing Area",40.1100006104,-88.07839965820001,675,"NA","US","US-IL","St Joseph","no","0LL5",,"0LL5",,,
7289,"0LL6","small_airport","Gord Airport",41.69839859008789,-88.60759735107422,710,"NA","US","US-IL","Sandwich","no","0LL6",,"0LL6",,,
7290,"0LL7","heliport","Northwestern Medicine Valley West Hospital Heliport",41.657994,-88.621297,670,"NA","US","US-IL","Sandwich","no","0LL7",,"0LL7",,,"Hospital Heliport"
7291,"0LL9","closed","Savanna Army Depot Helipad",42.183399,-90.255698,650,"NA","US","US-IL","Savanna","no",,,,,,"0LL9"
7292,"0LS0","small_airport","Theriot Field",29.74970054626465,-90.73580169677734,13,"NA","US","US-LA","Thibodaux","no","0LS0",,"0LS0",,,
7294,"0LS2","closed","Evergreen Fourchon Heliport",29.116437,-90.201273,6,"NA","US","US-LA","Golden Meadow","no",,,,,,"0LS2"
7295,"0LS3","heliport","Evergreen Venice Heliport",29.29669952392578,-89.37439727783203,,"NA","US","US-LA","Venice","no","0LS3",,"0LS3",,,
7296,"0LS4","closed","Buller's Airstrip",30.808701,-92.188003,47,"NA","US","US-LA","Bunkie","no",,,,,,"0LS4"
7297,"0LS5","small_airport","Trahan Ultralightport",30.303775,-92.130547,40,"NA","US","US-LA","Carencro","no","0LS5",,"0LS5",,,
7298,"0LS6","small_airport","Dufour Airport",30.787700653076172,-92.05039978027344,42,"NA","US","US-LA","Morrow","no","0LS6",,"0LS6",,,
7299,"0LS7","small_airport","Morgan Field",30.61280059814453,-91.48419952392578,36,"NA","US","US-LA","New Roads","no","0LS7",,"0LS7",,,
7300,"0LS8","small_airport","Lonesome Dove Airfield",30.28580093383789,-92.94129943847656,34,"NA","US","US-LA","Woodlawn","no","0LS8",,"0LS8",,,
7301,"0LS9","small_airport","Huenefeld Airport",32.513603,-91.98657,72,"NA","US","US-LA","Monroe","no","0LS9",,"0LS9",,,
7302,"0MA1","heliport","Massachusetts General Hospital Heliport",42.363656,-71.069142,214,"NA","US","US-MA","Boston","no","0MA1",,"0MA1",,,
7303,"0MA2","heliport","Healthalliance Hospital-Leominster Heliport",42.54090118408203,-71.76280212402344,450,"NA","US","US-MA","Leominster","no","0MA2",,"0MA2",,,
7304,"0MA3","heliport","Reh Heliport",41.786224,-71.231437,100,"NA","US","US-MA","Rehoboth","no","0MA3",,"0MA3",,,
7305,"0MA4","heliport","Boston Medical Center Hospital Heliport",42.333804,-71.071352,19,"NA","US","US-MA","Boston","no","0MA4",,"0MA4",,,
7306,"0MA5","heliport","Brockton Usar Center Heliport",42.05590057373047,-71.05590057373047,85,"NA","US","US-MA","Brockton","no","0MA5",,"0MA5",,,
7307,"0MA6","heliport","Wbz Heliport",42.3651008605957,-71.13259887695312,9,"NA","US","US-MA","Boston","no","0MA6",,"0MA6",,,
7308,"0MA8","closed","Textron/Everett Heliport",42.404496,-71.070602,40,"NA","US","US-MA","Everett","no",,,,,,"0MA8"
